,topic_id,filename,header,section_text,Document,Question,Answer
0,1,Kaliumbeperkt dieet,Broodmaaltijd Kalium (mg),"Brood (bruin, volkoren, wit), per snee 60 Luxe broodje (kadetje, puntje), per stuk 110 Beschuit, per stuk 20 Ontbijtkoek, per plak 30 Roggebrood (donker), per snee 110 Roggebrood (licht), per snee 60 Fruitontbijt, per glas 200 Cruesli, per eetlepel 50","1: Kaliumbeperkt dieet: Broodmaaltijd Kalium (mg): Brood (bruin, volkoren, wit), per snee 60 Luxe broodje (kadetje, puntje), per stuk 110 Beschuit, per stuk 20 Ontbijtkoek, per plak 30 Roggebrood (donker), per snee 110 Roggebrood (licht), per snee 60 Fruitontbijt, per glas 200 Cruesli, per eetlepel 50",Hoeveel kalium zit er in een snee bruin brood?,Een snee bruin brood bevat 60 mg kalium.
1,1,Kaliumbeperkt dieet,Broodmaaltijd Kalium (mg),"Brood (bruin, volkoren, wit), per snee 60 Luxe broodje (kadetje, puntje), per stuk 110 Beschuit, per stuk 20 Ontbijtkoek, per plak 30 Roggebrood (donker), per snee 110 Roggebrood (licht), per snee 60 Fruitontbijt, per glas 200 Cruesli, per eetlepel 50","1: Kaliumbeperkt dieet: Broodmaaltijd Kalium (mg): Brood (bruin, volkoren, wit), per snee 60 Luxe broodje (kadetje, puntje), per stuk 110 Beschuit, per stuk 20 Ontbijtkoek, per plak 30 Roggebrood (donker), per snee 110 Roggebrood (licht), per snee 60 Fruitontbijt, per glas 200 Cruesli, per eetlepel 50",Hoeveel kalium zit er in een kadetje?,Een kadetje bevat 110 mg kalium.
2,1,Kaliumbeperkt dieet,Broodmaaltijd Kalium (mg),"Brood (bruin, volkoren, wit), per snee 60 Luxe broodje (kadetje, puntje), per stuk 110 Beschuit, per stuk 20 Ontbijtkoek, per plak 30 Roggebrood (donker), per snee 110 Roggebrood (licht), per snee 60 Fruitontbijt, per glas 200 Cruesli, per eetlepel 50","1: Kaliumbeperkt dieet: Broodmaaltijd Kalium (mg): Brood (bruin, volkoren, wit), per snee 60 Luxe broodje (kadetje, puntje), per stuk 110 Beschuit, per stuk 20 Ontbijtkoek, per plak 30 Roggebrood (donker), per snee 110 Roggebrood (licht), per snee 60 Fruitontbijt, per glas 200 Cruesli, per eetlepel 50",Hoeveel kalium zit er in een ontbijtkoek?,Een plak ontbijtkoek bevat 30 mg kalium.
3,1,Kaliumbeperkt dieet,Broodmaaltijd Kalium (mg),"Brood (bruin, volkoren, wit), per snee 60 Luxe broodje (kadetje, puntje), per stuk 110 Beschuit, per stuk 20 Ontbijtkoek, per plak 30 Roggebrood (donker), per snee 110 Roggebrood (licht), per snee 60 Fruitontbijt, per glas 200 Cruesli, per eetlepel 50","1: Kaliumbeperkt dieet: Broodmaaltijd Kalium (mg): Brood (bruin, volkoren, wit), per snee 60 Luxe broodje (kadetje, puntje), per stuk 110 Beschuit, per stuk 20 Ontbijtkoek, per plak 30 Roggebrood (donker), per snee 110 Roggebrood (licht), per snee 60 Fruitontbijt, per glas 200 Cruesli, per eetlepel 50",Hoeveel kalium zit er in een glas fruitontbijt?,Een glas fruitontbijt bevat 200 mg kalium.
4,1,Kaliumbeperkt dieet,Broodmaaltijd Kalium (mg),"Brood (bruin, volkoren, wit), per snee 60 Luxe broodje (kadetje, puntje), per stuk 110 Beschuit, per stuk 20 Ontbijtkoek, per plak 30 Roggebrood (donker), per snee 110 Roggebrood (licht), per snee 60 Fruitontbijt, per glas 200 Cruesli, per eetlepel 50","1: Kaliumbeperkt dieet: Broodmaaltijd Kalium (mg): Brood (bruin, volkoren, wit), per snee 60 Luxe broodje (kadetje, puntje), per stuk 110 Beschuit, per stuk 20 Ontbijtkoek, per plak 30 Roggebrood (donker), per snee 110 Roggebrood (licht), per snee 60 Fruitontbijt, per glas 200 Cruesli, per eetlepel 50",Hoeveel kalium zit er in een eetlepel cruesli?,Een eetlepel cruesli bevat 50 mg kalium.
5,1,Kaliumbeperkt dieet,Broodmaaltijd Kalium (mg),"Brood (bruin, volkoren, wit), per snee 60 Luxe broodje (kadetje, puntje), per stuk 110 Beschuit, per stuk 20 Ontbijtkoek, per plak 30 Roggebrood (donker), per snee 110 Roggebrood (licht), per snee 60 Fruitontbijt, per glas 200 Cruesli, per eetlepel 50","1: Kaliumbeperkt dieet: Broodmaaltijd Kalium (mg): Brood (bruin, volkoren, wit), per snee 60 Luxe broodje (kadetje, puntje), per stuk 110 Beschuit, per stuk 20 Ontbijtkoek, per plak 30 Roggebrood (donker), per snee 110 Roggebrood (licht), per snee 60 Fruitontbijt, per glas 200 Cruesli, per eetlepel 50",Wat is de hoeveelheid kalium in een snee bruin brood?,Een snee bruin brood bevat 60 mg kalium.
6,1,Kaliumbeperkt dieet,Broodmaaltijd Kalium (mg),"Brood (bruin, volkoren, wit), per snee 60 Luxe broodje (kadetje, puntje), per stuk 110 Beschuit, per stuk 20 Ontbijtkoek, per plak 30 Roggebrood (donker), per snee 110 Roggebrood (licht), per snee 60 Fruitontbijt, per glas 200 Cruesli, per eetlepel 50","1: Kaliumbeperkt dieet: Broodmaaltijd Kalium (mg): Brood (bruin, volkoren, wit), per snee 60 Luxe broodje (kadetje, puntje), per stuk 110 Beschuit, per stuk 20 Ontbijtkoek, per plak 30 Roggebrood (donker), per snee 110 Roggebrood (licht), per snee 60 Fruitontbijt, per glas 200 Cruesli, per eetlepel 50",Hoeveel kalium zit er in een luxe broodje (kadetje of puntje)?,Een luxe broodje bevat 110 mg kalium.
7,1,Kaliumbeperkt dieet,Broodmaaltijd Kalium (mg),"Brood (bruin, volkoren, wit), per snee 60 Luxe broodje (kadetje, puntje), per stuk 110 Beschuit, per stuk 20 Ontbijtkoek, per plak 30 Roggebrood (donker), per snee 110 Roggebrood (licht), per snee 60 Fruitontbijt, per glas 200 Cruesli, per eetlepel 50","1: Kaliumbeperkt dieet: Broodmaaltijd Kalium (mg): Brood (bruin, volkoren, wit), per snee 60 Luxe broodje (kadetje, puntje), per stuk 110 Beschuit, per stuk 20 Ontbijtkoek, per plak 30 Roggebrood (donker), per snee 110 Roggebrood (licht), per snee 60 Fruitontbijt, per glas 200 Cruesli, per eetlepel 50",Hoeveel kalium zit er in een beschuit?,Een beschuit bevat 20 mg kalium.
8,1,Kaliumbeperkt dieet,Broodmaaltijd Kalium (mg),"Brood (bruin, volkoren, wit), per snee 60 Luxe broodje (kadetje, puntje), per stuk 110 Beschuit, per stuk 20 Ontbijtkoek, per plak 30 Roggebrood (donker), per snee 110 Roggebrood (licht), per snee 60 Fruitontbijt, per glas 200 Cruesli, per eetlepel 50","1: Kaliumbeperkt dieet: Broodmaaltijd Kalium (mg): Brood (bruin, volkoren, wit), per snee 60 Luxe broodje (kadetje, puntje), per stuk 110 Beschuit, per stuk 20 Ontbijtkoek, per plak 30 Roggebrood (donker), per snee 110 Roggebrood (licht), per snee 60 Fruitontbijt, per glas 200 Cruesli, per eetlepel 50",Hoeveel kalium zit er in een plak ontbijtkoek?,Een plak ontbijtkoek bevat 30 mg kalium.
9,1,Kaliumbeperkt dieet,Broodmaaltijd Kalium (mg),"Brood (bruin, volkoren, wit), per snee 60 Luxe broodje (kadetje, puntje), per stuk 110 Beschuit, per stuk 20 Ontbijtkoek, per plak 30 Roggebrood (donker), per snee 110 Roggebrood (licht), per snee 60 Fruitontbijt, per glas 200 Cruesli, per eetlepel 50","1: Kaliumbeperkt dieet: Broodmaaltijd Kalium (mg): Brood (bruin, volkoren, wit), per snee 60 Luxe broodje (kadetje, puntje), per stuk 110 Beschuit, per stuk 20 Ontbijtkoek, per plak 30 Roggebrood (donker), per snee 110 Roggebrood (licht), per snee 60 Fruitontbijt, per glas 200 Cruesli, per eetlepel 50",Hoeveel kalium zit er in een glas fruitontbijt?,Een glas fruitontbijt bevat 200 mg kalium.
10,20,"Oxaliplatin_Capecitabine, patiënteninformatie",Wijze van toediening:,"De Oxaliplatin wordt u toegediend via een infuus in een ader in uw hand of arm. Deze behandeling vindt plaats op de dagbehandeling oncologie van ZGT. De totale behandeling duurt ongeveer twee en een half uur. De Capecitabine kunt u zelf innemen, want dit zijn tabletten. U start hiermee op de avond van dag één en gaat hiermee door t/m de ochtend van dag 15. De volgende kuur start in principe drie weken na dag één als de bloeduitslagen goed zijn.","20: Oxaliplatin_Capecitabine, patiënteninformatie: Wijze van toediening:: De Oxaliplatin wordt u toegediend via een infuus in een ader in uw hand of arm. Deze behandeling vindt plaats op de dagbehandeling oncologie van ZGT. De totale behandeling duurt ongeveer twee en een half uur. De Capecitabine kunt u zelf innemen, want dit zijn tabletten. U start hiermee op de avond van dag één en gaat hiermee door t/m de ochtend van dag 15. De volgende kuur start in principe drie weken na dag één als de bloeduitslagen goed zijn.",Hoe wordt de Oxaliplatin aan mij toegediend?,De Oxaliplatin wordt u toegediend via een infuus in een ader in uw hand of arm.
11,20,"Oxaliplatin_Capecitabine, patiënteninformatie",Wijze van toediening:,"De Oxaliplatin wordt u toegediend via een infuus in een ader in uw hand of arm. Deze behandeling vindt plaats op de dagbehandeling oncologie van ZGT. De totale behandeling duurt ongeveer twee en een half uur. De Capecitabine kunt u zelf innemen, want dit zijn tabletten. U start hiermee op de avond van dag één en gaat hiermee door t/m de ochtend van dag 15. De volgende kuur start in principe drie weken na dag één als de bloeduitslagen goed zijn.","20: Oxaliplatin_Capecitabine, patiënteninformatie: Wijze van toediening:: De Oxaliplatin wordt u toegediend via een infuus in een ader in uw hand of arm. Deze behandeling vindt plaats op de dagbehandeling oncologie van ZGT. De totale behandeling duurt ongeveer twee en een half uur. De Capecitabine kunt u zelf innemen, want dit zijn tabletten. U start hiermee op de avond van dag één en gaat hiermee door t/m de ochtend van dag 15. De volgende kuur start in principe drie weken na dag één als de bloeduitslagen goed zijn.",Waar vindt de behandeling plaats en hoe lang duurt deze?,Deze behandeling vindt plaats op de dagbehandeling oncologie van ZGT. De totale behandeling duurt ongeveer twee en een half uur.
12,20,"Oxaliplatin_Capecitabine, patiënteninformatie",Wijze van toediening:,"De Oxaliplatin wordt u toegediend via een infuus in een ader in uw hand of arm. Deze behandeling vindt plaats op de dagbehandeling oncologie van ZGT. De totale behandeling duurt ongeveer twee en een half uur. De Capecitabine kunt u zelf innemen, want dit zijn tabletten. U start hiermee op de avond van dag één en gaat hiermee door t/m de ochtend van dag 15. De volgende kuur start in principe drie weken na dag één als de bloeduitslagen goed zijn.","20: Oxaliplatin_Capecitabine, patiënteninformatie: Wijze van toediening:: De Oxaliplatin wordt u toegediend via een infuus in een ader in uw hand of arm. Deze behandeling vindt plaats op de dagbehandeling oncologie van ZGT. De totale behandeling duurt ongeveer twee en een half uur. De Capecitabine kunt u zelf innemen, want dit zijn tabletten. U start hiermee op de avond van dag één en gaat hiermee door t/m de ochtend van dag 15. De volgende kuur start in principe drie weken na dag één als de bloeduitslagen goed zijn.",Hoe vaak moet ik de Capecitabine innemen en wanneer start ik met de volgende kuur?,De Capecitabine kunt u zelf innemen en start u op de avond van dag één. De volgende kuur start in principe drie weken na dag één als de bloeduitslagen goed zijn.
13,20,"Oxaliplatin_Capecitabine, patiënteninformatie",Wijze van toediening:,"De Oxaliplatin wordt u toegediend via een infuus in een ader in uw hand of arm. Deze behandeling vindt plaats op de dagbehandeling oncologie van ZGT. De totale behandeling duurt ongeveer twee en een half uur. De Capecitabine kunt u zelf innemen, want dit zijn tabletten. U start hiermee op de avond van dag één en gaat hiermee door t/m de ochtend van dag 15. De volgende kuur start in principe drie weken na dag één als de bloeduitslagen goed zijn.","20: Oxaliplatin_Capecitabine, patiënteninformatie: Wijze van toediening:: De Oxaliplatin wordt u toegediend via een infuus in een ader in uw hand of arm. Deze behandeling vindt plaats op de dagbehandeling oncologie van ZGT. De totale behandeling duurt ongeveer twee en een half uur. De Capecitabine kunt u zelf innemen, want dit zijn tabletten. U start hiermee op de avond van dag één en gaat hiermee door t/m de ochtend van dag 15. De volgende kuur start in principe drie weken na dag één als de bloeduitslagen goed zijn.",Wat is de toedieningswijze van de Capecitabine?,De Capecitabine is in tabletvorm en kunt u zelf innemen.
14,20,"Oxaliplatin_Capecitabine, patiënteninformatie",Wijze van toediening:,"De Oxaliplatin wordt u toegediend via een infuus in een ader in uw hand of arm. Deze behandeling vindt plaats op de dagbehandeling oncologie van ZGT. De totale behandeling duurt ongeveer twee en een half uur. De Capecitabine kunt u zelf innemen, want dit zijn tabletten. U start hiermee op de avond van dag één en gaat hiermee door t/m de ochtend van dag 15. De volgende kuur start in principe drie weken na dag één als de bloeduitslagen goed zijn.","20: Oxaliplatin_Capecitabine, patiënteninformatie: Wijze van toediening:: De Oxaliplatin wordt u toegediend via een infuus in een ader in uw hand of arm. Deze behandeling vindt plaats op de dagbehandeling oncologie van ZGT. De totale behandeling duurt ongeveer twee en een half uur. De Capecitabine kunt u zelf innemen, want dit zijn tabletten. U start hiermee op de avond van dag één en gaat hiermee door t/m de ochtend van dag 15. De volgende kuur start in principe drie weken na dag één als de bloeduitslagen goed zijn.",Kan ik zelf iets doen om ervoor te zorgen dat de behandeling goed verloopt?,"Ja, u kunt ervoor zorgen dat u de Capecitabine volgens voorschrift inneemt en dat u op de avond van dag één start met de behandeling."
15,20,"Oxaliplatin_Capecitabine, patiënteninformatie",Wijze van toediening:,"De Oxaliplatin wordt u toegediend via een infuus in een ader in uw hand of arm. Deze behandeling vindt plaats op de dagbehandeling oncologie van ZGT. De totale behandeling duurt ongeveer twee en een half uur. De Capecitabine kunt u zelf innemen, want dit zijn tabletten. U start hiermee op de avond van dag één en gaat hiermee door t/m de ochtend van dag 15. De volgende kuur start in principe drie weken na dag één als de bloeduitslagen goed zijn.","20: Oxaliplatin_Capecitabine, patiënteninformatie: Wijze van toediening:: De Oxaliplatin wordt u toegediend via een infuus in een ader in uw hand of arm. Deze behandeling vindt plaats op de dagbehandeling oncologie van ZGT. De totale behandeling duurt ongeveer twee en een half uur. De Capecitabine kunt u zelf innemen, want dit zijn tabletten. U start hiermee op de avond van dag één en gaat hiermee door t/m de ochtend van dag 15. De volgende kuur start in principe drie weken na dag één als de bloeduitslagen goed zijn.",Hoe wordt de Oxaliplatin toegediend?,De Oxaliplatin wordt toegediend via een infuus in een ader in uw hand of arm.
16,20,"Oxaliplatin_Capecitabine, patiënteninformatie",Wijze van toediening:,"De Oxaliplatin wordt u toegediend via een infuus in een ader in uw hand of arm. Deze behandeling vindt plaats op de dagbehandeling oncologie van ZGT. De totale behandeling duurt ongeveer twee en een half uur. De Capecitabine kunt u zelf innemen, want dit zijn tabletten. U start hiermee op de avond van dag één en gaat hiermee door t/m de ochtend van dag 15. De volgende kuur start in principe drie weken na dag één als de bloeduitslagen goed zijn.","20: Oxaliplatin_Capecitabine, patiënteninformatie: Wijze van toediening:: De Oxaliplatin wordt u toegediend via een infuus in een ader in uw hand of arm. Deze behandeling vindt plaats op de dagbehandeling oncologie van ZGT. De totale behandeling duurt ongeveer twee en een half uur. De Capecitabine kunt u zelf innemen, want dit zijn tabletten. U start hiermee op de avond van dag één en gaat hiermee door t/m de ochtend van dag 15. De volgende kuur start in principe drie weken na dag één als de bloeduitslagen goed zijn.",Waar vindt de behandeling plaats?,De behandeling vindt plaats op de dagbehandeling oncologie van ZGT.
17,20,"Oxaliplatin_Capecitabine, patiënteninformatie",Wijze van toediening:,"De Oxaliplatin wordt u toegediend via een infuus in een ader in uw hand of arm. Deze behandeling vindt plaats op de dagbehandeling oncologie van ZGT. De totale behandeling duurt ongeveer twee en een half uur. De Capecitabine kunt u zelf innemen, want dit zijn tabletten. U start hiermee op de avond van dag één en gaat hiermee door t/m de ochtend van dag 15. De volgende kuur start in principe drie weken na dag één als de bloeduitslagen goed zijn.","20: Oxaliplatin_Capecitabine, patiënteninformatie: Wijze van toediening:: De Oxaliplatin wordt u toegediend via een infuus in een ader in uw hand of arm. Deze behandeling vindt plaats op de dagbehandeling oncologie van ZGT. De totale behandeling duurt ongeveer twee en een half uur. De Capecitabine kunt u zelf innemen, want dit zijn tabletten. U start hiermee op de avond van dag één en gaat hiermee door t/m de ochtend van dag 15. De volgende kuur start in principe drie weken na dag één als de bloeduitslagen goed zijn.",Hoe lang duurt de totale behandeling?,De totale behandeling duurt ongeveer twee en een half uur.
18,20,"Oxaliplatin_Capecitabine, patiënteninformatie",Wijze van toediening:,"De Oxaliplatin wordt u toegediend via een infuus in een ader in uw hand of arm. Deze behandeling vindt plaats op de dagbehandeling oncologie van ZGT. De totale behandeling duurt ongeveer twee en een half uur. De Capecitabine kunt u zelf innemen, want dit zijn tabletten. U start hiermee op de avond van dag één en gaat hiermee door t/m de ochtend van dag 15. De volgende kuur start in principe drie weken na dag één als de bloeduitslagen goed zijn.","20: Oxaliplatin_Capecitabine, patiënteninformatie: Wijze van toediening:: De Oxaliplatin wordt u toegediend via een infuus in een ader in uw hand of arm. Deze behandeling vindt plaats op de dagbehandeling oncologie van ZGT. De totale behandeling duurt ongeveer twee en een half uur. De Capecitabine kunt u zelf innemen, want dit zijn tabletten. U start hiermee op de avond van dag één en gaat hiermee door t/m de ochtend van dag 15. De volgende kuur start in principe drie weken na dag één als de bloeduitslagen goed zijn.",Hoe en wanneer moet ik de Capecitabine innemen?,"De Capecitabine kunt u zelf innemen, want dit zijn tabletten. U start hiermee op de avond van dag één en gaat hiermee door t/m de ochtend van dag 15."
19,20,"Oxaliplatin_Capecitabine, patiënteninformatie",Wijze van toediening:,"De Oxaliplatin wordt u toegediend via een infuus in een ader in uw hand of arm. Deze behandeling vindt plaats op de dagbehandeling oncologie van ZGT. De totale behandeling duurt ongeveer twee en een half uur. De Capecitabine kunt u zelf innemen, want dit zijn tabletten. U start hiermee op de avond van dag één en gaat hiermee door t/m de ochtend van dag 15. De volgende kuur start in principe drie weken na dag één als de bloeduitslagen goed zijn.","20: Oxaliplatin_Capecitabine, patiënteninformatie: Wijze van toediening:: De Oxaliplatin wordt u toegediend via een infuus in een ader in uw hand of arm. Deze behandeling vindt plaats op de dagbehandeling oncologie van ZGT. De totale behandeling duurt ongeveer twee en een half uur. De Capecitabine kunt u zelf innemen, want dit zijn tabletten. U start hiermee op de avond van dag één en gaat hiermee door t/m de ochtend van dag 15. De volgende kuur start in principe drie weken na dag één als de bloeduitslagen goed zijn.",Wanneer start de volgende kuur?,De volgende kuur start in principe drie weken na dag één als de bloeduitslagen goed zijn.
