,Document,Question,Answer,Question-Context N-gram Similarity,Answer-Context N-gram Similarity,LLM Score
0,"Hebt u na het lezen van deze informatie nog vragen, stel ze gerust. U kunt daarvoor bellen met de afdeling nucleaire geneeskunde, telefoonnummer 088 708 56 70. U vindt ons op routenummer 1.15, ziekenhuislocatie Hengelo. Ruimte voor informatie",Hoe kan ik vragen stellen over de informatie in dit document?,U kunt bellen met de afdeling nucleaire geneeskunde op telefoonnummer 088 708 56 70.,0.0,0.28,100.0
1,"Hebt u na het lezen van deze informatie nog vragen, stel ze gerust. U kunt daarvoor bellen met de afdeling nucleaire geneeskunde, telefoonnummer 088 708 56 70. U vindt ons op routenummer 1.15, ziekenhuislocatie Hengelo. Ruimte voor informatie",Waar kan ik terecht met eventuele vragen over de informatie uit dit document?,U kunt bellen met de afdeling nucleaire geneeskunde op telefoonnummer 088 708 56 70.,0.0,0.28,100.0
2,"Hebt u na het lezen van deze informatie nog vragen, stel ze gerust. U kunt daarvoor bellen met de afdeling nucleaire geneeskunde, telefoonnummer 088 708 56 70. U vindt ons op routenummer 1.15, ziekenhuislocatie Hengelo. Ruimte voor informatie",Waar kan ik de afdeling nucleaire geneeskunde vinden?,"De afdeling bevindt zich op routenummer 1.15, ziekenhuislocatie Hengelo.",0.08,0.12,100.0
3,"Hebt u na het lezen van deze informatie nog vragen, stel ze gerust. U kunt daarvoor bellen met de afdeling nucleaire geneeskunde, telefoonnummer 088 708 56 70. U vindt ons op routenummer 1.15, ziekenhuislocatie Hengelo. Ruimte voor informatie",Is er ruimte voor extra informatie na het lezen van dit document?,"Ja, er is ruimte voor extra informatie na het lezen van dit document. U kunt hiervoor bellen met de afdeling nucleaire geneeskunde.",0.0,0.1,100.0
4,"Hebt u na het lezen van deze informatie nog vragen, stel ze gerust. U kunt daarvoor bellen met de afdeling nucleaire geneeskunde, telefoonnummer 088 708 56 70. U vindt ons op routenummer 1.15, ziekenhuislocatie Hengelo. Ruimte voor informatie",Wat is het telefoonnummer van de afdeling nucleaire geneeskunde?,Het telefoonnummer van de afdeling nucleaire geneeskunde is 088 708 56 70.,0.08333333333333333,0.15384615384615385,100.0
5,"Heeft u naar aanleiding van deze folder vragen, neem dan contact op met ZGT secretariaat plastische chirurgie, bereikbaar op maandag tot en met vrijdag van 8.00 - 16.30 uur, telefoonnummer 088 708 52 45.",Hoe kan ik contact opnemen met ZGT secretariaat plastische chirurgie?,"U kunt contact opnemen met ZGT secretariaat plastische chirurgie op maandag tot en met vrijdag van 8.00 - 16.30 uur, telefoonnummer 088 708 52 45.",0.14285714285714285,0.5217391304347826,100.0
6,"Heeft u naar aanleiding van deze folder vragen, neem dan contact op met ZGT secretariaat plastische chirurgie, bereikbaar op maandag tot en met vrijdag van 8.00 - 16.30 uur, telefoonnummer 088 708 52 45.",Op welke tijden is ZGT secretariaat plastische chirurgie bereikbaar?,ZGT secretariaat plastische chirurgie is bereikbaar op maandag tot en met vrijdag van 8.00 - 16.30 uur.,0.19047619047619047,0.47368421052631576,100.0
7,"Heeft u naar aanleiding van deze folder vragen, neem dan contact op met ZGT secretariaat plastische chirurgie, bereikbaar op maandag tot en met vrijdag van 8.00 - 16.30 uur, telefoonnummer 088 708 52 45.",Wat is het telefoonnummer van ZGT secretariaat plastische chirurgie?,Het telefoonnummer van ZGT secretariaat plastische chirurgie is 088 708 52 45.,0.15,0.2857142857142857,
8,"Heeft u naar aanleiding van deze folder vragen, neem dan contact op met ZGT secretariaat plastische chirurgie, bereikbaar op maandag tot en met vrijdag van 8.00 - 16.30 uur, telefoonnummer 088 708 52 45.",Welke dagen is ZGT secretariaat plastische chirurgie bereikbaar?,ZGT secretariaat plastische chirurgie is bereikbaar van maandag tot en met vrijdag.,0.19047619047619047,0.3157894736842105,100.0
9,"Heeft u naar aanleiding van deze folder vragen, neem dan contact op met ZGT secretariaat plastische chirurgie, bereikbaar op maandag tot en met vrijdag van 8.00 - 16.30 uur, telefoonnummer 088 708 52 45.",Wat is het werkgebied van ZGT secretariaat plastische chirurgie?,Het werkgebied van ZGT secretariaat plastische chirurgie is de regio Twente.,0.15,0.13636363636363635,100.0
10,Het telefoonnummer van onze afdeling is: 088 708 35 10. Om te vragen hoe de nacht is verlopen kunt u bellen voor 07.00 uur. Voor overige informatie graag na 11.00 uur.,Wat is het beste tijdstip om te bellen om te vragen hoe de nacht is verlopen?,Het is het beste om voor 07.00 uur te bellen.,0.09523809523809523,0.05,
11,Het telefoonnummer van onze afdeling is: 088 708 35 10. Om te vragen hoe de nacht is verlopen kunt u bellen voor 07.00 uur. Voor overige informatie graag na 11.00 uur.,Wat is het telefoonnummer van de afdeling?,Het telefoonnummer van de afdeling is 088 708 35 10.,0.0,0.15,100.0
12,Het telefoonnummer van onze afdeling is: 088 708 35 10. Om te vragen hoe de nacht is verlopen kunt u bellen voor 07.00 uur. Voor overige informatie graag na 11.00 uur.,Vanaf hoe laat kan ik bellen voor overige informatie?,U kunt bellen voor overige informatie na 11.00 uur.,0.047619047619047616,0.15,100.0
13,Het telefoonnummer van onze afdeling is: 088 708 35 10. Om te vragen hoe de nacht is verlopen kunt u bellen voor 07.00 uur. Voor overige informatie graag na 11.00 uur.,Wat is het nummer dat ik moet bellen voor vragen over de nacht?,U kunt bellen naar 088 708 35 10 voor vragen over de nacht.,0.05,0.19047619047619047,100.0
14,Het telefoonnummer van onze afdeling is: 088 708 35 10. Om te vragen hoe de nacht is verlopen kunt u bellen voor 07.00 uur. Voor overige informatie graag na 11.00 uur.,Wat is de uiterste tijd om te bellen voor vragen over de nacht?,U kunt bellen voor 07.00 uur om te vragen hoe de nacht is verlopen.,0.047619047619047616,0.2631578947368421,95.0
15,Bij vragen of problemen kunt u tijdens kantooruren (8.00 tot 16.30 uur) contact opnemen met de polikliniek plastische chirurgie via telefoonnummer: 088 708 52 45. Bij complicaties buiten kantooruren kunt u contact opnemen met de afdeling spoedeisende hulp via het algemene telefoonnummer van ZGT: 088 708 78 78.,Hoe kan ik tijdens kantooruren contact opnemen met de polikliniek plastische chirurgie?,U kunt tijdens kantooruren (8.00 tot 16.30 uur) contact opnemen met de polikliniek plastische chirurgie via telefoonnummer: 088 708 52 45.,0.14705882352941177,0.4411764705882353,100.0
16,Bij vragen of problemen kunt u tijdens kantooruren (8.00 tot 16.30 uur) contact opnemen met de polikliniek plastische chirurgie via telefoonnummer: 088 708 52 45. Bij complicaties buiten kantooruren kunt u contact opnemen met de afdeling spoedeisende hulp via het algemene telefoonnummer van ZGT: 088 708 78 78.,Hoe kan ik buiten kantooruren contact opnemen met de afdeling spoedeisende hulp?,Buiten kantooruren kunt u contact opnemen met de afdeling spoedeisende hulp via het algemene telefoonnummer van ZGT: 088 708 78 78.,0.14705882352941177,0.45454545454545453,100.0
17,Bij vragen of problemen kunt u tijdens kantooruren (8.00 tot 16.30 uur) contact opnemen met de polikliniek plastische chirurgie via telefoonnummer: 088 708 52 45. Bij complicaties buiten kantooruren kunt u contact opnemen met de afdeling spoedeisende hulp via het algemene telefoonnummer van ZGT: 088 708 78 78.,Wat is het telefoonnummer van de polikliniek plastische chirurgie?,Het telefoonnummer van de polikliniek plastische chirurgie is 088 708 52 45.,0.058823529411764705,0.1111111111111111,100.0
18,Bij vragen of problemen kunt u tijdens kantooruren (8.00 tot 16.30 uur) contact opnemen met de polikliniek plastische chirurgie via telefoonnummer: 088 708 52 45. Bij complicaties buiten kantooruren kunt u contact opnemen met de afdeling spoedeisende hulp via het algemene telefoonnummer van ZGT: 088 708 78 78.,Wat is het algemene telefoonnummer van ZGT?,Het algemene telefoonnummer van ZGT is 088 708 78 78.,0.06060606060606061,0.18181818181818182,
19,Bij vragen of problemen kunt u tijdens kantooruren (8.00 tot 16.30 uur) contact opnemen met de polikliniek plastische chirurgie via telefoonnummer: 088 708 52 45. Bij complicaties buiten kantooruren kunt u contact opnemen met de afdeling spoedeisende hulp via het algemene telefoonnummer van ZGT: 088 708 78 78.,Wat zijn de kantooruren van de polikliniek plastische chirurgie?,De kantooruren van de polikliniek plastische chirurgie zijn van 8.00 tot 16.30 uur.,0.058823529411764705,0.11428571428571428,95.0
20,"ziekenhuis? Complicaties komen bij dit onderzoek heel zelden voor. Hebt u na afloop van het onderzoek buikpijn, koorts en/of bloedverlies Dan belt u met het MDL-centrum. Bereikbaar van maandag tot en met vrijdag van 08.30 uur tot 16.30 uur. Telefoonnummer 088 708 70 70. Mochten de complicaties optreden buiten kantooruren dan kunt u tot 3 dagen na de ERCP bellen naar de klinische MDL-afdeling 5 West; telefoonnummer 088 708 34 20.",Wat zijn de mogelijke complicaties van het onderzoek?,Complicaties komen bij dit onderzoek heel zelden voor.,0.0,0.09302325581395349,100.0
21,"ziekenhuis? Complicaties komen bij dit onderzoek heel zelden voor. Hebt u na afloop van het onderzoek buikpijn, koorts en/of bloedverlies Dan belt u met het MDL-centrum. Bereikbaar van maandag tot en met vrijdag van 08.30 uur tot 16.30 uur. Telefoonnummer 088 708 70 70. Mochten de complicaties optreden buiten kantooruren dan kunt u tot 3 dagen na de ERCP bellen naar de klinische MDL-afdeling 5 West; telefoonnummer 088 708 34 20.",Wanneer moet ik contact opnemen met het MDL-centrum na afloop van het onderzoek?,"Als u na afloop van het onderzoek buikpijn, koorts en/of bloedverlies heeft.",0.02127659574468085,0.11627906976744186,100.0
22,"ziekenhuis? Complicaties komen bij dit onderzoek heel zelden voor. Hebt u na afloop van het onderzoek buikpijn, koorts en/of bloedverlies Dan belt u met het MDL-centrum. Bereikbaar van maandag tot en met vrijdag van 08.30 uur tot 16.30 uur. Telefoonnummer 088 708 70 70. Mochten de complicaties optreden buiten kantooruren dan kunt u tot 3 dagen na de ERCP bellen naar de klinische MDL-afdeling 5 West; telefoonnummer 088 708 34 20.",Wat zijn de bereikbaarheidstijden van het MDL-centrum?,Het MDL-centrum is bereikbaar van maandag tot en met vrijdag van 08.30 uur tot 16.30 uur.,0.0,0.16279069767441862,100.0
23,"ziekenhuis? Complicaties komen bij dit onderzoek heel zelden voor. Hebt u na afloop van het onderzoek buikpijn, koorts en/of bloedverlies Dan belt u met het MDL-centrum. Bereikbaar van maandag tot en met vrijdag van 08.30 uur tot 16.30 uur. Telefoonnummer 088 708 70 70. Mochten de complicaties optreden buiten kantooruren dan kunt u tot 3 dagen na de ERCP bellen naar de klinische MDL-afdeling 5 West; telefoonnummer 088 708 34 20.",Wat is het telefoonnummer van de klinische MDL-afdeling 5 West?,Het telefoonnummer van de klinische MDL-afdeling 5 West is 088 708 34 20.,0.06818181818181818,0.13333333333333333,100.0
24,"Mocht u na het lezen van deze folder nog vragen hebben, stel ze dan gerust. U kunt bellen naar het MDL-centrum, telefoonnummer 088 708 34 00.",Wanneer moet ik contact opnemen met het MDL-centrum?,U kunt contact opnemen met het MDL-centrum als u nog vragen heeft na het lezen van deze folder. Het telefoonnummer is 088 708 34 00.,0.0,0.2631578947368421,100.0
25,"Mocht u na het lezen van deze folder nog vragen hebben, stel ze dan gerust. U kunt bellen naar het MDL-centrum, telefoonnummer 088 708 34 00.",Hoe kan ik het MDL-centrum bereiken?,U kunt het MDL-centrum bereiken door te bellen naar het telefoonnummer 088 708 34 00.,0.0,0.23529411764705882,100.0
26,"Wanneer u vragen heeft over borstvoeding na een operatie is het mogelijk een lactatiekundige (borstvoedingsdeskundige) te spreken. Dit is in ZGT zowel voor als na de operatie mogelijk. Hiervoor kan contact opgenomen worden met de afdeling moeder en kind, zij zullen u verder verwijzen of een afspraak voor u inplannen. Om een afspraak te maken met de lactatieverpleegkundige kunt u bellen met telefoonnummer 088 708 44 51.",Is het mogelijk om een lactatiekundige te spreken over borstvoeding na een operatie?,"Ja, het is mogelijk om een lactatiekundige te spreken voor en na de operatie. Dit kan geregeld worden via de afdeling moeder en kind in ZGT.",0.06060606060606061,0.08108108108108109,100.0
27,"Wanneer u vragen heeft over borstvoeding na een operatie is het mogelijk een lactatiekundige (borstvoedingsdeskundige) te spreken. Dit is in ZGT zowel voor als na de operatie mogelijk. Hiervoor kan contact opgenomen worden met de afdeling moeder en kind, zij zullen u verder verwijzen of een afspraak voor u inplannen. Om een afspraak te maken met de lactatieverpleegkundige kunt u bellen met telefoonnummer 088 708 44 51.",Hoe kan ik een afspraak maken met de lactatieverpleegkundige?,Om een afspraak te maken met de lactatieverpleegkundige kunt u bellen met telefoonnummer 088 708 44 51.,0.06451612903225806,0.2903225806451613,90.0
28,"Wanneer u vragen heeft over borstvoeding na een operatie is het mogelijk een lactatiekundige (borstvoedingsdeskundige) te spreken. Dit is in ZGT zowel voor als na de operatie mogelijk. Hiervoor kan contact opgenomen worden met de afdeling moeder en kind, zij zullen u verder verwijzen of een afspraak voor u inplannen. Om een afspraak te maken met de lactatieverpleegkundige kunt u bellen met telefoonnummer 088 708 44 51.",Waar kan ik contact opnemen voor meer informatie over borstvoeding na een operatie?,Voor meer informatie over borstvoeding na een operatie kunt u contact opnemen met de afdeling moeder en kind in ZGT.,0.02857142857142857,0.08108108108108109,100.0
29,"Wanneer u vragen heeft over borstvoeding na een operatie is het mogelijk een lactatiekundige (borstvoedingsdeskundige) te spreken. Dit is in ZGT zowel voor als na de operatie mogelijk. Hiervoor kan contact opgenomen worden met de afdeling moeder en kind, zij zullen u verder verwijzen of een afspraak voor u inplannen. Om een afspraak te maken met de lactatieverpleegkundige kunt u bellen met telefoonnummer 088 708 44 51.",Wat is het telefoonnummer van de afdeling moeder en kind in ZGT?,Het telefoonnummer van de afdeling moeder en kind in ZGT is 088 708 44 51.,0.06060606060606061,0.14705882352941177,90.0
30,"Mocht u nog vragen hebben stel ze dan gerust. U kunt bellen naar het MDL-centrum telefoonnummer, 088 708 70 70.",Waar kan ik terecht met vragen over het doorspoelen van een verstopte voedingssonde?,"U kunt met vragen over het doorspoelen van een verstopte voedingssonde terecht bij het MDL-centrum telefoonnummer, 088 708 70 70.",0.0,0.29411764705882354,95.0
31,"Mocht u nog vragen hebben stel ze dan gerust. U kunt bellen naar het MDL-centrum telefoonnummer, 088 708 70 70.",Is het mogelijk om de verstopping van een voedingssonde zelf op te lossen?,"Ja, u kunt proberen om de verstopping van een voedingssonde zelf op te lossen door het doorspoelen met lauwwarm water. Als dit niet lukt, neem dan contact op met het MDL-centrum telefoonnummer, 088 708 70 70.",0.0,0.22727272727272727,90.0
32,"Mocht u nog vragen hebben stel ze dan gerust. U kunt bellen naar het MDL-centrum telefoonnummer, 088 708 70 70.",Wat moet ik doen als de verstopping van een voedingssonde niet oplost na het doorspoelen?,"Als de verstopping van een voedingssonde niet oplost na het doorspoelen, laat dan lauwwarm water 30 minuten inwerken en herhaal de bovenstaande procedure nogmaals. Als dit ook niet werkt, neem dan contact op met het MDL-centrum telefoonnummer, 088 708 70 70.",0.0,0.17857142857142858,95.0
33,"- ZGT (algemeen nummer): 088 708 78 78 
- Voor zwangeren is onze afdeling verloskunde op locaties Almelo en Hengelo op één centraal nummer bereikbaar: 088 708 44 16",Wat is het algemene nummer van de ZGT?,Het algemene nummer van de ZGT is 088 708 78 78.,0.0,0.13043478260869565,100.0
34,"- ZGT (algemeen nummer): 088 708 78 78 
- Voor zwangeren is onze afdeling verloskunde op locaties Almelo en Hengelo op één centraal nummer bereikbaar: 088 708 44 16",Op welke locaties zijn de afdeling verloskunde van ZGT bereikbaar voor zwangeren?,De afdeling verloskunde van ZGT is op locaties Almelo en Hengelo op één centraal nummer bereikbaar: 088 708 44 16.,0.04,0.5,95.0
35,"- ZGT (algemeen nummer): 088 708 78 78 
- Voor zwangeren is onze afdeling verloskunde op locaties Almelo en Hengelo op één centraal nummer bereikbaar: 088 708 44 16",Wat is het belangrijkste nummer voor zwangeren om de afdeling verloskunde van ZGT te bereiken?,Voor zwangeren is ons afdeling verloskunde op locaties Almelo en Hengelo op één centraal nummer bereikbaar: 088 708 44 16.,0.04,0.5714285714285714,90.0
36,"- ZGT (algemeen nummer): 088 708 78 78 
- Voor zwangeren is onze afdeling verloskunde op locaties Almelo en Hengelo op één centraal nummer bereikbaar: 088 708 44 16",Is de afdeling verloskunde van ZGT op alle locaties bereikbaar voor zwangeren?,De afdeling verloskunde van ZGT is op locaties Almelo en Hengelo op één centraal nummer bereikbaar voor zwangeren: 088 708 44 16.,0.04,0.4166666666666667,100.0
37,"KinderThuisZorg KinderThuisZorg is 24 uur per dag, 7 dagen per week beschikbaar op het volgende telefoonnummer: 088 0200 700. Wanneer u belt naar KinderThuisZorg volgt er een keuzemenu. Vervolgens wordt er gevraagd naar uw postcode, waardoor u kan worden doorverbonden met de juiste kinderverpleegkundige uit uw regio. ZGT Almelo, moeder-kind afdeling Neonatologie De afdeling moeder-kind, neonatologie is 24 uur per dag, 7 dagen per week beschikbaar op het volgende telefoonnummer: 088 708 4451 Wanneer u met uw kind naar de afdeling komt voor een nieuw infuus, volgt u routenummer 1.2. U kunt u tijdens kantoortijden aanmelden bij de secretaresse. Buiten kantoortijden kunt u gebruik maken van de bel bij de ingang van de afdeling.",Hoe kan ik contact opnemen met KinderThuisZorg?,"U kunt 24 uur per dag, 7 dagen per week contact opnemen met KinderThuisZorg op het telefoonnummer 088 0200 700.",0.0,0.13432835820895522,100.0
38,"KinderThuisZorg KinderThuisZorg is 24 uur per dag, 7 dagen per week beschikbaar op het volgende telefoonnummer: 088 0200 700. Wanneer u belt naar KinderThuisZorg volgt er een keuzemenu. Vervolgens wordt er gevraagd naar uw postcode, waardoor u kan worden doorverbonden met de juiste kinderverpleegkundige uit uw regio. ZGT Almelo, moeder-kind afdeling Neonatologie De afdeling moeder-kind, neonatologie is 24 uur per dag, 7 dagen per week beschikbaar op het volgende telefoonnummer: 088 708 4451 Wanneer u met uw kind naar de afdeling komt voor een nieuw infuus, volgt u routenummer 1.2. U kunt u tijdens kantoortijden aanmelden bij de secretaresse. Buiten kantoortijden kunt u gebruik maken van de bel bij de ingang van de afdeling.",Kan ik mijn kind aanmelden bij KinderThuisZorg?,"Ja, u kunt uw kind tijdens kantoortijden aanmelden bij de secretaresse. Buiten kantoortijden kunt u gebruik maken van de bel bij de ingang van de afdeling.",0.0,0.1746031746031746,100.0
39,"KinderThuisZorg KinderThuisZorg is 24 uur per dag, 7 dagen per week beschikbaar op het volgende telefoonnummer: 088 0200 700. Wanneer u belt naar KinderThuisZorg volgt er een keuzemenu. Vervolgens wordt er gevraagd naar uw postcode, waardoor u kan worden doorverbonden met de juiste kinderverpleegkundige uit uw regio. ZGT Almelo, moeder-kind afdeling Neonatologie De afdeling moeder-kind, neonatologie is 24 uur per dag, 7 dagen per week beschikbaar op het volgende telefoonnummer: 088 708 4451 Wanneer u met uw kind naar de afdeling komt voor een nieuw infuus, volgt u routenummer 1.2. U kunt u tijdens kantoortijden aanmelden bij de secretaresse. Buiten kantoortijden kunt u gebruik maken van de bel bij de ingang van de afdeling.",Hoe kom ik in contact met de juiste kinderverpleegkundige?,"Bij het bellen naar KinderThuisZorg wordt er gevraagd naar uw postcode, waardoor u kan worden doorverbonden met de juiste kinderverpleegkundige uit uw regio.",0.015873015873015872,0.09523809523809523,100.0
40,"KinderThuisZorg KinderThuisZorg is 24 uur per dag, 7 dagen per week beschikbaar op het volgende telefoonnummer: 088 0200 700. Wanneer u belt naar KinderThuisZorg volgt er een keuzemenu. Vervolgens wordt er gevraagd naar uw postcode, waardoor u kan worden doorverbonden met de juiste kinderverpleegkundige uit uw regio. ZGT Almelo, moeder-kind afdeling Neonatologie De afdeling moeder-kind, neonatologie is 24 uur per dag, 7 dagen per week beschikbaar op het volgende telefoonnummer: 088 708 4451 Wanneer u met uw kind naar de afdeling komt voor een nieuw infuus, volgt u routenummer 1.2. U kunt u tijdens kantoortijden aanmelden bij de secretaresse. Buiten kantoortijden kunt u gebruik maken van de bel bij de ingang van de afdeling.",Waar kan ik terecht voor een nieuw infuus voor mijn kind?,"Bij ZGT Almelo, op de afdeling moeder-kind, neonatologie. Tijdens kantoortijden kunt u zich aanmelden bij de secretaresse, buiten kantoortijden kunt u het belsysteem bij de ingang van de afdeling gebruiken.",0.015625,0.13432835820895522,100.0
41,"KinderThuisZorg KinderThuisZorg is 24 uur per dag, 7 dagen per week beschikbaar op het volgende telefoonnummer: 088 0200 700. Wanneer u belt naar KinderThuisZorg volgt er een keuzemenu. Vervolgens wordt er gevraagd naar uw postcode, waardoor u kan worden doorverbonden met de juiste kinderverpleegkundige uit uw regio. ZGT Almelo, moeder-kind afdeling Neonatologie De afdeling moeder-kind, neonatologie is 24 uur per dag, 7 dagen per week beschikbaar op het volgende telefoonnummer: 088 708 4451 Wanneer u met uw kind naar de afdeling komt voor een nieuw infuus, volgt u routenummer 1.2. U kunt u tijdens kantoortijden aanmelden bij de secretaresse. Buiten kantoortijden kunt u gebruik maken van de bel bij de ingang van de afdeling.",Welk routenummer moet ik volgen als ik mijn kind naar ZGT Almelo breng voor een nieuw infuus?,"U dient routenummer 1.2 te volgen wanneer u met uw kind naar de afdeling moeder-kind, neonatologie komt voor een nieuw infuus.",0.029850746268656716,0.09090909090909091,100.0
42,"Heeft u na het onderzoek nog vragen of dienen zich thuis problemen voor, neem dan contact op met de polikliniek longgeneeskunde. 
- Tijdens kantooruren kunt u contact opnemen met het secretariaat van het Hart Long Centrum, telefoonnummer 088 708 33 00. 
- Buiten kantooruren kunt u contact opnemen met de afdeling spoedeisende hulp, telefoonnummer 088 708 78 78",Hoe kan ik contact opnemen met de polikliniek longgeneeskunde?,U kunt tijdens kantooruren contact opnemen met het secretariaat van het Hart Long Centrum op telefoonnummer 088 708 33 00.,0.06451612903225806,0.34375,100.0
43,"Heeft u na het onderzoek nog vragen of dienen zich thuis problemen voor, neem dan contact op met de polikliniek longgeneeskunde. 
- Tijdens kantooruren kunt u contact opnemen met het secretariaat van het Hart Long Centrum, telefoonnummer 088 708 33 00. 
- Buiten kantooruren kunt u contact opnemen met de afdeling spoedeisende hulp, telefoonnummer 088 708 78 78",Wat is het telefoonnummer voor contact met de afdeling spoedeisende hulp buiten kantooruren?,U kunt buiten kantooruren contact opnemen met de afdeling spoedeisende hulp op telefoonnummer 088 708 78 78.,0.09090909090909091,0.3125,100.0
